episode,reward,length,timestep
1,2304.76114487648,1000,1000
2,2276.5552020072937,1000,2000
3,2284.356207847595,1000,3000
4,2306.725866317749,1000,4000
5,2302.352520942688,1000,5000
6,2289.57989692688,1000,6000
7,2290.3447785377502,1000,7000
8,2312.4930086135864,1000,8000
9,2289.1582428216934,1000,9000
10,2315.7146582603455,1000,10000
11,2300.1674275398254,1000,11000
12,2310.4732823371887,1000,12000
13,2301.961499452591,1000,13000
14,2323.0179994106293,1000,14000
15,148.41329908370972,63,14063
16,2297.861430168152,1000,15063
17,2302.1379437446594,1000,16063
18,2295.4563117027283,1000,17063
19,2316.7300560474396,1000,18063
20,2317.3327503204346,1000,19063
21,2317.511681318283,1000,20063
22,2334.0019466876984,1000,21063
23,2325.041134119034,1000,22063
24,2323.9755012989044,1000,23063
25,2320.1548311710358,1000,24063
26,2336.9938292503357,1000,25063
27,2321.1862959861755,1000,26063
28,2320.1433079242706,1000,27063
29,2320.517853975296,1000,28063
30,2342.5950407981873,1000,29063
31,2313.6420357227325,1000,30063
32,1207.387743115425,521,30584
33,2339.1351766586304,1000,31584
34,2321.912773132324,1000,32584
35,2348.6922602653503,1000,33584
36,2341.464135169983,1000,34584
37,2356.6103127002716,1000,35584
38,2350.3841054439545,1000,36584
39,2375.7879090309143,1000,37584
40,2337.731913805008,1000,38584
41,2336.023519039154,1000,39584
42,2320.867029905319,1000,40584
43,2369.685037612915,1000,41584
44,2370.0869262218475,1000,42584
45,2367.4640345573425,1000,43584
46,412.43467140197754,178,43762
47,2352.700197458267,1000,44762
48,2368.3083963394165,1000,45762
49,2374.67249751091,1000,46762
50,2351.1847565174103,1000,47762
51,2372.126905441284,1000,48762
52,2374.8363370895386,1000,49762
53,2360.874047279358,1000,50762
54,2375.9757750034332,1000,51762
55,2375.3898978233337,1000,52762
56,2365.7698566913605,1000,53762
57,2389.124538898468,1000,54762
58,2380.9139018058777,1000,55762
59,2385.3900697231293,1000,56762
60,2368.5817704200745,1000,57762
61,2364.020370721817,1000,58762
62,2369.6049015522003,1000,59762
63,1784.1367373466492,750,60512
64,2378.2871153354645,1000,61512
65,2375.523225069046,1000,62512
66,2383.2884821891785,1000,63512
67,2385.564283847809,1000,64512
68,2385.252794265747,1000,65512
69,2393.9514343738556,1000,66512
70,2366.2791843414307,1000,67512
71,2396.0893816947937,1000,68512
72,2390.9134850502014,1000,69512
73,2401.2046160697937,1000,70512
74,2405.9904029369354,1000,71512
75,2397.3043456077576,1000,72512
76,2386.770215034485,1000,73512
77,2394.027292728424,1000,74512
78,2394.6161608695984,1000,75512
79,2211.896220445633,927,76439
80,2412.7400138378143,1000,77439
81,2397.743505001068,1000,78439
82,2385.4880652427673,1000,79439
83,2381.13356757164,1000,80439
84,2409.4363975524902,1000,81439
85,2393.614088535309,1000,82439
86,2373.250167608261,1000,83439
